"","x","y","height_meter","height_ft"
"1",398074.125,3706009.375,7.15566495076742,23.4765910458249
"2",398102.875,3706009.375,5.65866,18.565157480315
"3",398103.125,3706009.375,5.65866,18.565157480315
"4",398108.375,3706009.375,5.65050234224521,18.5383935113032
"5",398126.625,3706009.375,11.26914,36.9722440944882
"6",398130.875,3706009.375,8.82767000000001,28.9621719160105
"7",398137.625,3706009.375,7.09188,23.2673228346457
"8",398137.875,3706009.375,7.09188,23.2673228346457
"9",398179.125,3706009.375,5.22919999999999,17.1561679790026
"10",398422.875,3706009.375,7.01499059265009,23.0150609995082
"11",398448.875,3706009.375,2.69349,8.83690944881889
"12",398463.625,3706009.375,7.78467000000001,25.5402559055118
"13",398490.125,3706009.375,4.42534999999998,14.5188648293963
"14",398507.125,3706009.375,15.26904,50.0952755905512
"15",398678.875,3706009.375,6.03222999999997,19.7907808398949
"16",398719.375,3706009.375,6.18082809194128,20.2783073882588
"17",398724.625,3706009.375,6.13698999999997,20.1344816272965
"18",398769.375,3706009.375,6.15748752530146,20.2017307260547
"19",398089.125,3706009.125,4.91267999999997,16.117716535433
"20",398116.125,3706009.125,5.52141999999998,18.1148950131233
"21",398131.875,3706009.125,9.11415999999997,29.9020997375327
"22",398135.875,3706009.125,7.76403491173155,25.4725554846836
"23",398296.625,3706009.125,4.75885999999997,15.6130577427821
"24",398299.875,3706009.125,3.98075094329258,13.0602065068654
"25",398330.625,3706009.125,3.548,11.6404199475066
"26",398392.375,3706009.125,3.85960186454261,12.6627357760584
"27",398424.625,3706009.125,8.17275000000001,26.8134842519685
"28",398424.875,3706009.125,8.17275000000001,26.8134842519685
"29",398432.375,3706009.125,7.15118999999999,23.4619094488189
"30",398448.875,3706009.125,2.69349,8.83690944881889
"31",398465.375,3706009.125,6.15451000000002,20.1919619422573
"32",398487.375,3706009.125,5.31945999999999,17.4522965879265
"33",398558.125,3706009.125,3.63022000000001,11.9101706036746
"34",398558.375,3706009.125,3.63022000000001,11.9101706036746
"35",398678.875,3706009.125,6.03222999999997,19.7907808398949
"36",398725.875,3706009.125,6.07281,19.9239173228347
"37",398726.125,3706009.125,6.07281,19.9239173228347
"38",398727.375,3706009.125,6.04372000000001,19.8284776902887
"39",398728.875,3706009.125,6.03785085121323,19.8092219527993
"40",398730.125,3706009.125,6.07476974999995,19.9303469488187
"41",398732.625,3706009.125,6.13068099391439,20.113782788433
"42",398089.125,3706008.875,4.91267999999997,16.117716535433
"43",398116.125,3706008.875,5.52141999999998,18.1148950131233
"44",398128.375,3706008.875,10.7709000010623,35.337598428682
"45",398389.125,3706008.875,3.20605568146111,10.5185553853711
"46",398438.625,3706008.875,4.007439420818,13.147767128668
"47",398504.125,3706008.875,14.81056,48.5910761154856
"48",398547.625,3706008.875,2.62594999999999,8.61532152230967
"49",398731.125,3706008.875,6.09674730761961,20.0024517966523
"50",398821.625,3706008.875,9.11588187872464,29.907748945947
"51",398086.375,3706008.625,4.52600000000001,14.8490813648294
"52",398124.375,3706008.625,8.91935000000001,29.2629593175853
"53",398139.875,3706008.625,6.88810999999998,22.5987860892388
"54",398147.625,3706008.625,4.12628000000001,13.5376640419948
"55",398241.875,3706008.625,2.44747999999998,8.02979002624667
"56",398243.375,3706008.625,2.46519000000001,8.08789370078742
"57",398289.125,3706008.625,3.85849082733619,12.6590906408668
"58",398291.625,3706008.625,3.52675999999997,11.5707349081364
"59",398291.875,3706008.625,3.52675999999997,11.5707349081364
"60",398421.875,3706008.625,6.94862999999998,22.797342519685
"61",398431.375,3706008.625,8.09944999999999,26.572998687664
"62",398503.375,3706008.625,14.8256886389754,48.6407107577932
"63",398504.125,3706008.625,14.81056,48.5910761154856
"64",398070.125,3706008.375,10.59117,34.7479330708661
"65",398089.875,3706008.375,4.77956,15.6809711286089
"66",398129.875,3706008.375,11.47405,37.6445209973753
"67",398186.375,3706008.375,3.20956000000001,10.5300524934384
"68",398298.625,3706008.375,4.74831999999998,15.5784776902886
"69",398383.125,3706008.375,4.14706000000001,13.6058398950132
"70",398428.125,3706008.375,8.59631000000002,28.2031167979003
"71",398428.375,3706008.375,8.59631000000002,28.2031167979003
"72",398429.875,3706008.375,8.26159000000001,27.1049540682415
"73",398769.375,3706008.375,6.20184999999998,20.3472769028871
"74",398104.875,3706008.125,5.48516805365838,17.9959581812939
"75",398118.125,3706008.125,4.53043034398189,14.8636166141138
"76",398134.875,3706008.125,8.50938000000002,27.9179133858268
"77",398136.375,3706008.125,7.11808000000002,23.3532808398951
"78",398186.375,3706008.125,3.20956000000001,10.5300524934384
"79",398374.625,3706008.125,13.51242,44.3320866141733
"80",398389.625,3706008.125,3.15792659822486,10.3606515689792
"81",398425.375,3706008.125,8.07916846774327,26.5064582275042
"82",398515.625,3706008.125,13.2873030846045,43.5935140571015
"83",398531.625,3706008.125,2.48749842483831,8.16108407099182
"84",398770.625,3706008.125,5.98068999999998,19.621686351706
"85",398772.375,3706008.125,5.93707258342785,19.4785845912987
"86",398774.125,3706008.125,5.98728999999997,19.643339895013
"87",398778.375,3706008.125,6.01036863642595,19.7190572061219
"88",398779.125,3706008.125,6.00601,19.7047572178478
"89",398780.875,3706008.125,6.01913999999999,19.7478346456693
"90",398088.125,3706007.875,4.79930999999999,15.7457677165354
"91",398089.125,3706007.875,4.87288999999998,15.9871719160104
"92",398104.125,3706007.875,5.42928,17.8125984251969
"93",398125.125,3706007.875,8.84944509828218,29.0336125271725
"94",398132.625,3706007.875,8.03150999999997,26.3500984251967
"95",398133.625,3706007.875,8.1534931888363,26.7503057376519
